Company,Role,Skills,Location,Website
PayPal,Data Engineer,"Python, SQL, Spark, Hadoop, AWS",Chennai,https://careers.paypal.com
Uber,ML Engineer,"Python, Machine Learning, Deep Learning, NLP, Spark",Bangalore,https://www.uber.com/careers
LinkedIn,Software Engineer,"Java, Scala, Kafka, Python, Distributed Systems",Bangalore,https://careers.linkedin.com
Twitter,Backend Developer,"Java, Python, Scala, Kafka, SQL",Hyderabad,https://careers.twitter.com
Snapchat,AI Engineer,"Python, Deep Learning, PyTorch, NLP, Computer Vision",Bangalore,https://careers.snap.com
Spotify,Data Scientist,"Python, R, SQL, Machine Learning, Big Data",Remote,https://www.spotifyjobs.com
Netflix,Software Engineer,"Java, Python, AWS, Distributed Systems",Bangalore,https://jobs.netflix.com
Dropbox,Cloud Engineer,"Python, Go, AWS, Kubernetes, Docker",Remote,https://jobs.dropbox.com
VMware,DevOps Engineer,"Python, Ansible, Kubernetes, AWS, Terraform",Pune,https://careers.vmware.com
Cisco,Network Engineer,"Networking, Python, CCNA, Security, Cloud",Bangalore,https://jobs.cisco.com
Siemens,Software Developer,"C++, Java, Embedded, IoT, Python",Gurgaon,https://jobs.siemens.com
Samsung R&D,AI Engineer,"TensorFlow, Keras, Python, Deep Learning, NLP",Bangalore,https://research.samsung.com
HP,Cloud Engineer,"AWS, Azure, Python, Java, SQL",Chennai,https://jobs.hp.com
Dell,Data Scientist,"Python, SQL, Spark, Machine Learning, Cloud",Hyderabad,https://jobs.dell.com
EY,AI Consultant,"Python, R, Machine Learning, Data Science, SQL",Mumbai,https://eyglobal.yello.co
KPMG,Data Analyst,"Excel, Python, SQL, Power BI, Statistics",Bangalore,https://home.kpmg/xx/en/home/careers.html
Deloitte,AI Engineer,"Python, Machine Learning, NLP, RPA, SQL",Hyderabad,https://jobs2.deloitte.com
PwC,Data Engineer,"Python, SQL, Cloud, Spark, Hadoop",Kolkata,https://www.pwc.com/careers
ZS Tech,Data Scientist,"Python, R, SQL, Statistics, ML",Pune,https://www.zs.com/careers
